PlateName	Plate	Well	Content	siRNAID	GeneID	LocusID	Accession
P1	1	O16	NA	NA	NA	NA	NA
P1	1	O17	NA	NA	NA	NA	NA
P1	1	O18	NA	NA	NA	NA	NA
P1	1	O19	NA	NA	NA	NA	NA
P1	1	O20	NA	NA	NA	NA	NA
P1	1	O21	NA	NA	NA	NA	NA
P1	1	O22	NA	NA	NA	NA	NA
P1	1	O23	NA	NA	NA	NA	NA
P1	1	O24	NA	NA	NA	NA	NA
P1	1	P01	NA	NA	NA	NA	NA
P1	1	P02	NA	NA	NA	NA	NA
P1	1	P03	NA	NA	NA	NA	NA
P1	1	P04	NA	NA	NA	NA	NA
P1	1	P05	NA	NA	NA	NA	NA
P1	1	P06	NA	NA	NA	NA	NA
P1	1	P07	NA	NA	NA	NA	NA
P1	1	P08	NA	NA	NA	NA	NA
P1	1	P09	NA	NA	NA	NA	NA
P1	1	P10	NA	NA	NA	NA	NA
P1	1	P11	NA	NA	NA	NA	NA
P1	1	P12	NA	NA	NA	NA	NA
P1	1	P13	NA	NA	NA	NA	NA
P1	1	P14	NA	NA	NA	NA	NA
P1	1	P15	NA	NA	NA	NA	NA
P1	1	P16	NA	NA	NA	NA	NA
P1	1	P17	NA	NA	NA	NA	NA
P1	1	P18	NA	NA	NA	NA	NA
P1	1	P19	NA	NA	NA	NA	NA
P1	1	P20	NA	NA	NA	NA	NA
P1	1	P21	NA	NA	NA	NA	NA
P1	1	P22	NA	NA	NA	NA	NA
P1	1	P23	NA	NA	NA	NA	NA
P1	1	P24	NA	NA	NA	NA	NA
